#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_remezior_krack;Remezior Krack;;;;;;;;;;;;;x
b_kholam_renk_ghor;Kholam-renk-Ghor;;;;;;;;;;;;;x
b_dann_castle;Caer Dann;;;;;;;;;;;;;x
b_dann_city;Dann;;;;;;;;;;;;;x
b_dann_temple;Dann Church;;;;;;;;;;;;;x
b_dann_castle_1;Dann Castle;;;;;;;;;;;;;x
b_varna_castle;Caer Varna;;;;;;;;;;;;;x
b_varna_city;Varna;;;;;;;;;;;;;x
b_varna_temple;Varna Church;;;;;;;;;;;;;x
b_varna_castle_1;Varna Castle;;;;;;;;;;;;;x
b_drafe_castle;Caer Drafe;;;;;;;;;;;;;x
b_drafe_city;Drafe;;;;;;;;;;;;;x
b_drafe_temple;Drafe Church;;;;;;;;;;;;;x
b_drafe_castle_1;Drafe Castle;;;;;;;;;;;;;x
b_nensema_castle;Caer Nensema;;;;;;;;;;;;;x
b_nensema_city;Nensema;;;;;;;;;;;;;x
b_nensema_temple;St Verrete;;;;;;;;;;;;;x
b_nensema_castle_1;Nensema Castle;;;;;;;;;;;;;x
b_nensema_city_1;Nensema City;;;;;;;;;;;;;x
b_nann_castle;Caer Nann;;;;;;;;;;;;;x
b_nann_city;Nann;;;;;;;;;;;;;x
b_nann_temple;Nann Church;;;;;;;;;;;;;x
b_nann_castle_1;Nann Castle;;;;;;;;;;;;;x
b_bret_castle;Caer Bret;;;;;;;;;;;;;x
b_bret_city;Bret;;;;;;;;;;;;;x
b_bret_temple;Bret Church;;;;;;;;;;;;;x
b_bret_castle_1;Bret Castle;;;;;;;;;;;;;x
b_marnoc_castle;Caer Marnoc;;;;;;;;;;;;;x
b_marnoc_city;Marnoc;;;;;;;;;;;;;x
b_marnoc_temple;Marnoc Church;;;;;;;;;;;;;x
b_marnoc_castle_1;Marnoc Castle;;;;;;;;;;;;;x
b_finvarik_castle;Caer Finvarik;;;;;;;;;;;;;x
b_finvarik_city;Finvarik;;;;;;;;;;;;;x
b_finvarik_temple;Finvarik Church;;;;;;;;;;;;;x
b_finvarik_castle_1;Finvarik Castle;;;;;;;;;;;;;x
b_alarik_castle;Caer Alarik;;;;;;;;;;;;;x
b_alarik_city;Alarik;;;;;;;;;;;;;x
b_alarik_temple;Alarik Church;;;;;;;;;;;;;x
b_alarik_castle_1;Alarik Castle;;;;;;;;;;;;;x
b_vormon_castle;Caer Vormon;;;;;;;;;;;;;x
b_vormon_city;Vormon;;;;;;;;;;;;;x
b_vormon_temple;Vormon Church;;;;;;;;;;;;;x
b_vormon_castle_1;Vormon Castle;;;;;;;;;;;;;x
b_meredith_castle;Caer Meredith;;;;;;;;;;;;;x
b_meredith_city;Meredith;;;;;;;;;;;;;x
b_meredith_temple;Meredith Church;;;;;;;;;;;;;x
b_meredith_castle_1;Meredith Castle;;;;;;;;;;;;;x
b_iriant_castle;Caer Iriant;;;;;;;;;;;;;x
b_iriant_city;Iriant;;;;;;;;;;;;;x
b_iriant_temple;Iriant Church;;;;;;;;;;;;;x
b_iriant_castle_1;Iriant Castle;;;;;;;;;;;;;x
b_myndar_castle;Caer Myndar;;;;;;;;;;;;;x
b_myndar_city;Myndar;;;;;;;;;;;;;x
b_myndar_temple;Myndar Church;;;;;;;;;;;;;x
b_myndar_castle_1;Myndar Castle;;;;;;;;;;;;;x
b_myndar_city_1;Myndar City;;;;;;;;;;;;;x
b_treigh_castle;Caer Treigh;;;;;;;;;;;;;x
b_treigh_city;Treigh;;;;;;;;;;;;;x
b_treigh_temple;Treigh Church;;;;;;;;;;;;;x
b_grike_castle;Caer Grike;;;;;;;;;;;;;x
b_grike_city;Grike;;;;;;;;;;;;;x
b_grike_temple;Grike Church;;;;;;;;;;;;;x
b_grike_castle_1;Grike Castle;;;;;;;;;;;;;x
b_laerika_castle;Caer Laerika;;;;;;;;;;;;;x
b_laerika_city;Laerika;;;;;;;;;;;;;x
b_laerika_temple;Laerika Church;;;;;;;;;;;;;x
b_laerika_castle_1;Laerika Castle;;;;;;;;;;;;;x
b_laer_castle;Caer Laer;;;;;;;;;;;;;x
b_laer_city;Laer;;;;;;;;;;;;;x
b_laer_temple;Laer Church;;;;;;;;;;;;;x
b_laer_castle_1;Laer Castle;;;;;;;;;;;;;x
b_negan_castle;Caer Negan;;;;;;;;;;;;;x
b_negan_city;Negan;;;;;;;;;;;;;x
b_negan_temple;Negan Church;;;;;;;;;;;;;x
b_negan_castle_1;Negan Castle;;;;;;;;;;;;;x
b_ramnesney_castle;Caer Ramnesney;;;;;;;;;;;;;x
b_ramnesney_city;Ramnesney;;;;;;;;;;;;;x
b_ramnesney_temple;Sabriska sjömanskyrkan;;;;;;;;;;;;;x
b_ramnesney_castle_1;Ramnesney Castle;;;;;;;;;;;;;x
b_ramnesney_city_1;Ramnesney City;;;;;;;;;;;;;x
b_wella_castle;Caer Wella;;;;;;;;;;;;;x
b_wella_city;Wella;;;;;;;;;;;;;x
b_wella_temple;Wella Church;;;;;;;;;;;;;x
b_wella_castle_1;Wella Castle;;;;;;;;;;;;;x
b_thia_castle;Caer Thia;;;;;;;;;;;;;x
b_thia_city;Thia;;;;;;;;;;;;;x
b_thia_temple;Thia Church;;;;;;;;;;;;;x
b_thia_castle_1;Thia Castle;;;;;;;;;;;;;x
b_fhix_castle;Caer Fhix;;;;;;;;;;;;;x
b_fhix_city;Fhix;;;;;;;;;;;;;x
b_fhix_temple;Fhix Church;;;;;;;;;;;;;x
b_fhix_castle_1;Fhix Castle;;;;;;;;;;;;;x
b_ghia_castle;Caer Ghia;;;;;;;;;;;;;x
b_ghia_city;Ghia;;;;;;;;;;;;;x
b_ghia_temple;Ghia Church;;;;;;;;;;;;;x
b_ghia_castle_1;Ghia Castle;;;;;;;;;;;;;x
b_kiril_castle;Caer Kiril;;;;;;;;;;;;;x
b_kiril_city;Kiril;;;;;;;;;;;;;x
b_kiril_temple;Kiril Church;;;;;;;;;;;;;x
b_kiril_castle_1;Kiril Castle;;;;;;;;;;;;;x
b_vimbern_castle;Caer Nelly;;;;;;;;;;;;;x
b_vimbern_city;Nelly;;;;;;;;;;;;;x
b_vimbern_temple;Nelly Church;;;;;;;;;;;;;x
b_vimbern_castle_1;Nelly Castle;;;;;;;;;;;;;x
b_korina_castle;Caer Korina;;;;;;;;;;;;;x
b_korina_city;Korina;;;;;;;;;;;;;x
b_korina_temple;Korina Church;;;;;;;;;;;;;x
b_korina_castle_1;Korina Castle;;;;;;;;;;;;;x
b_tuirn_castle;Caer Miria;;;;;;;;;;;;;x
b_tuirn_city;Miria;;;;;;;;;;;;;x
b_tuirn_temple;Miria Church;;;;;;;;;;;;;x
b_tuirn_castle_1;Miria Castle;;;;;;;;;;;;;x
b_turina_castle;Caer Tuirn;;;;;;;;;;;;;x
b_turina_city;Turina;;;;;;;;;;;;;x
b_turina_temple;Turina Cathedral;;;;;;;;;;;;;x
b_turina_school;Mason an Turina;;;;;;;;;;;;;x
b_turina_castle_1;Turina Castle;;;;;;;;;;;;;x
b_fen_castle;Caer Fen;;;;;;;;;;;;;x
b_fen_city;Fen;;;;;;;;;;;;;x
b_fen_temple;Fen Church;;;;;;;;;;;;;x
b_fen_castle_1;Fen Castle;;;;;;;;;;;;;x
b_salni_castle;Caer Salni;;;;;;;;;;;;;x
b_salni_city;Salni;;;;;;;;;;;;;x
b_salni_temple;Salni Church;;;;;;;;;;;;;x
b_salni_castle_1;Caer Salni;;;;;;;;;;;;;x
b_dunres_castle;Caer Dunres;;;;;;;;;;;;;x
b_dunres_city;Dunres;;;;;;;;;;;;;x
b_dunres_temple;Dunres Church;;;;;;;;;;;;;x
b_dunres_castle_1;Dunres Castle;;;;;;;;;;;;;x
b_ehgine_castle;Caer Ehgine;;;;;;;;;;;;;x
b_ehgine_city;Ehgine;;;;;;;;;;;;;x
b_ehgine_temple;Ehgine Church;;;;;;;;;;;;;x
b_ehgine_castle_1;Ehgine Castle;;;;;;;;;;;;;x
