#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
vanar;Vanar;;;;;;;;;;;;;x
elven;Elven;;;;;;;;;;;;;x
dwarven;Dwarven;;;;;;;;;;;;;x
cirefalier;Cirefalier;;;;;;;;;;;;;x
ghor;Ghor;;;;;;;;;;;;;x
roghan;Roghan;;;;;;;;;;;;;x
zolod;Zolod;;;;;;;;;;;;;x
drezin;Drezin;;;;;;;;;;;;;x
zhan;Zhaner;;;;;;;;;;;;;x
darken;Darken;;;;;;;;;;;;;x
tirak;Tirak;;;;;;;;;;;;;x
raun;Raun;;;;;;;;;;;;;x
tosh;Tosh;;;;;;;;;;;;;x
kamor;Kamorian;;;;;;;;;;;;;x
learam;Léaram;;;;;;;;;;;;;x
sanari;Sanari;;;;;;;;;;;;;x
thism;Thism;;;;;;;;;;;;;x
kiriya;Kiriya;;;;;;;;;;;;;x
henea;Hénea;;;;;;;;;;;;;x
pyar;Pyar;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
neromenzer;Neromenzer;;;;;;;;;;;;;x
thalaskian;Neromenzer;;;;;;;;;;;;;x
abhixia;Abhixia;;;;;;;;;;;;;x
arginakus;Arginakus;;;;;;;;;;;;;x
cartika;Cartika;;;;;;;;;;;;;x
harim;Harim;;;;;;;;;;;;;x
kobinku;Kobinku;;;;;;;;;;;;;x
myrdinor;Myrdinor;;;;;;;;;;;;;x
sala;Sala;;;;;;;;;;;;;x
vaganda;Vaganda;;;;;;;;;;;;;x
zadhaz;Zadhaz;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
tokon;Tokon;;;;;;;;;;;;;x
perenn;Perenn;;;;;;;;;;;;;x
conrier;Conrier;;;;;;;;;;;;;x
sabrian;Sabrian;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
