#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
daak;Daak;;;;;;;;;;;;;x
jargian_daak;Jargiska Daakkyrkan;;;;;;;;;;;;;x
sabrian_daak;Sabriska Daakkyrkan;;;;;;;;;;;;;x
tibarit;Tibarit;;;;;;;;;;;;;x
udarit;Udarit;;;;;;;;;;;;;x
vontar;Vontar;;;;;;;;;;;;;
cirza;Cirza;;;;;;;;;;;;;x
antitheist;Antitheist;;;;;;;;;;;;;x
dragon_cult;Drakkulten;;;;;;;;;;;;;x
atheist;Atheist;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
tokon;Tokon;;;;;;;;;;;;;x
perenn;Perenn;;;;;;;;;;;;;x
conrier;Conrier;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
cirefalier;Cirefalier;;;;;;;;;;;;;x
ghor;Ghor;;;;;;;;;;;;;x
roghan;Roghan;;;;;;;;;;;;;x
zolod;Zolod;;;;;;;;;;;;;x
drezin;Drezin;;;;;;;;;;;;;x
zhan;Zhaner;;;;;;;;;;;;;x
darken;Darken;;;;;;;;;;;;;x
tirak;Tirak;;;;;;;;;;;;;x
raun;Raun;;;;;;;;;;;;;x
tosh;Tosh;;;;;;;;;;;;;x
kamor;Kamorian;;;;;;;;;;;;;x
learam;Léaram;;;;;;;;;;;;;x
sanari;Sanari;;;;;;;;;;;;;x
thism;Thism;;;;;;;;;;;;;x
kiriya;Kiriya;;;;;;;;;;;;;x
henea;Hénea;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
thalaskian;Neromenzer;;;;;;;;;;;;;x
abhixia;Abhixia;;;;;;;;;;;;;x
arginakus;Arginakus;;;;;;;;;;;;;x
cartika;Cartika;;;;;;;;;;;;;x
harim;Harim;;;;;;;;;;;;;x
kobinku;Kobinku;;;;;;;;;;;;;x
myrdinor;Myrdinor;;;;;;;;;;;;;x
sala;Sala;;;;;;;;;;;;;x
vaganda;Vaganda;;;;;;;;;;;;;x
zadhaz;Zadhaz;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
long_lived;Eternal life;;;;;;;;;;;;;x
gierash;Gierash;;;;;;;;;;;;;x
