province;red;green;blue;
1;42;3;128;
2;84;6;1;
3;126;9;129;
4;168;12;2;
5;0;15;130;
6;168;45;177;
7;84;21;131;
8;126;24;4;
9;168;27;132;
10;0;30;5;
11;42;33;133;
12;84;36;6;
13;126;39;134;
14;168;42;7;
15;0;45;135;
16;42;48;8;
17;84;51;136;
18;126;54;9;
19;168;57;137;
20;0;60;10;
21;42;63;138;
22;84;66;11;
23;126;69;139;
24;168;72;12;
25;0;75;140;
26;42;78;13;
27;126;84;14;
28;84;81;141;
29;168;87;142;
30;0;90;15;
31;42;93;143;
32;84;96;16;
33;126;99;144;
34;168;102;17;
35;0;105;145;
36;42;108;18;
37;84;111;146;
38;126;114;19;
39;168;117;147;
40;0;120;20;
41;42;123;148;
42;84;126;21;
43;126;129;149;
44;168;132;22;
45;0;135;150;
46;42;138;23;
47;84;141;151;
48;126;144;24;
49;168;147;152;
50;0;150;25;
51;42;153;153;
52;84;156;26;
53;126;159;154;
54;168;162;27;
55;0;165;155;
56;42;168;28;
57;84;171;156;
58;126;174;29;
59;168;177;157;
60;0;180;30;
61;42;183;158;
62;84;186;31;
63;126;189;159;
64;168;192;32;
65;0;195;160;
66;42;198;33;
67;84;201;161;
68;126;204;34;
69;168;207;162;
70;0;210;35;
71;42;0;163;
72;84;3;36;
73;126;6;164;
74;168;9;37;
75;0;12;165;
76;42;15;38;
77;84;18;166;
78;126;21;39;
79;168;24;167;
80;0;27;40;
81;42;30;168;
82;41;41;41;Vildmark
83;42;186;178;Sea
84;84;189;51;Sea
85;126;192;179;Sea
86;168;195;52;Sea
87;0;198;180;Sea
88;42;201;53;Sea
89;84;204;181;Sea
90;126;207;54;Sea
91;168;210;182;Sea
92;0;0;55;Sea
93;42;3;183;Sea
94;84;6;56;Sea
95;126;9;184;Sea
96;168;12;57;Sea
97;0;15;185;Sea
98;42;18;58;Sea
99;84;21;186;Sea
100;126;24;59;Sea
101;168;27;187;Sea
102;0;30;60;Sea
103;42;33;188;Sea
104;84;36;61;Sea
105;126;39;189;Sea
106;168;42;62;Sea
107;126;36;169;
108;168;39;42;
109;0;42;170;
110;42;45;43;
111;84;48;171;
112;126;51;44;
113;168;54;172;
114;0;57;45;
115;42;60;173;
116;84;63;46;
117;126;66;174;
118;168;69;47;
119;0;72;175;
120;42;75;48;
121;84;78;176;
122;126;81;49;
123;168;84;177;
124;0;87;50;
125;42;90;178;
126;84;93;51;
127;126;96;179;
128;168;99;52;
129;0;102;180;
130;42;105;53;
131;84;108;181;
132;126;111;54;
133;168;114;182;
134;0;117;55;
135;42;120;183;
136;84;123;56;
137;126;126;184;
138;168;129;57;
139;0;132;185;
140;42;135;58;
141;84;138;186;
142;126;141;59;
143;168;144;187;
144;0;147;60;
145;42;150;188;
146;84;153;61;
147;126;156;189;
148;168;159;62;
149;0;162;190;
150;42;165;63;
151;84;168;191;
152;126;171;64;
153;168;174;192;
154;0;177;65;
155;42;180;193;
156;84;183;66;
157;126;186;194;
158;168;189;67;
159;0;192;195;
160;42;195;68;
161;84;198;196;
162;126;201;69;
163;168;204;197;
164;0;207;70;
165;42;210;198;
166;84;0;71;
167;126;3;199;
168;168;6;72;
169;0;9;200;
170;42;12;73;
171;84;15;201;
172;126;18;74;
173;168;21;202;
174;0;24;75;
175;42;27;203;
176;84;30;76;
177;126;33;204;
178;168;36;77;
179;0;39;205;
180;42;42;78;
181;84;45;206;
182;126;48;79;
183;168;51;207;
184;0;54;80;
185;42;57;208;
186;84;60;81;
187;126;63;209;
188;168;66;82;
189;0;69;210;
190;42;72;83;
191;84;75;211;
192;126;78;84;
193;168;81;212;
194;0;84;85;
195;42;87;213;
196;84;90;86;
197;126;93;214;
198;168;96;87;
199;0;99;215;
200;42;102;88;
201;84;105;216;
202;126;108;89;
203;168;111;217;
204;0;114;90;
205;42;117;218;
206;84;120;91;
207;126;123;219;
208;168;126;92;
209;0;129;220;
210;42;132;93;
211;84;135;221;
212;126;138;94;
213;168;141;222;
214;0;144;95;
215;42;147;223;
216;84;150;96;
217;126;153;224;
218;168;156;97;
219;0;159;225;
220;42;162;98;
221;84;165;226;
222;126;168;99;
223;168;171;227;
224;0;174;0;
225;42;177;128;
226;84;180;1;
227;126;183;129;
228;168;186;2;
229;0;189;130;
230;42;192;3;
231;84;195;131;
232;126;198;4;
233;168;201;132;
234;0;204;5;
235;42;207;133;
236;84;210;6;
237;126;0;134;
238;168;3;7;
239;0;6;135;
240;42;9;8;
241;84;12;136;
242;126;15;9;
243;168;18;137;
244;0;21;10;
245;42;24;138;
246;84;27;11;
247;126;30;139;
248;168;33;12;
249;0;36;140;
250;42;39;13;
251;84;42;141;
252;126;45;14;
253;168;48;142;
254;0;51;15;
255;42;54;143;
256;84;57;16;
257;126;60;144;
258;168;63;17;
259;0;66;145;
260;42;69;18;
261;84;72;146;
262;126;75;19;
263;168;78;147;
264;0;81;20;
265;42;84;148;
266;84;87;21;
267;126;138;49;
268;168;93;22;
269;0;96;150;
270;42;99;23;
271;84;102;151;
272;126;105;24;
273;168;108;152;
274;0;111;25;
275;42;114;153;
276;84;117;26;
277;126;120;154;
278;168;123;27;
279;0;126;155;
280;42;129;28;
281;84;132;156;
282;126;135;29;
283;168;138;157;
284;0;141;30;
285;42;144;158;
286;84;147;31;
287;126;150;159;
288;168;153;32;
289;0;156;160;
290;42;159;33;
291;84;162;161;
292;126;165;34;
293;168;168;162;
294;0;171;35;
295;42;174;163;
296;84;177;36;
297;126;180;164;
298;168;183;37;
299;0;186;165;
300;42;189;38;
301;84;192;166;
302;126;195;39;
303;168;198;167;
304;0;201;40;
305;42;204;168;
306;84;207;41;
307;126;210;169;
308;168;0;42;
309;0;3;170;
310;42;6;43;
311;84;9;171;
312;126;12;44;
313;168;15;172;
314;0;18;45;
315;42;21;173;
316;84;24;46;
317;126;27;174;
318;168;30;47;
319;0;33;175;
320;42;36;48;
321;84;39;176;
322;126;42;49;
323;43;81;138;
324;0;48;50;
325;42;51;178;
326;84;54;51;
327;126;57;179;
328;168;60;52;
329;0;63;180;
330;42;66;53;
331;84;69;181;
332;126;72;54;
333;168;75;182;
334;0;78;55;
335;42;81;183;
336;84;84;56;
337;126;87;184;
338;168;90;57;
339;0;93;185;
340;42;96;58;
341;84;99;186;
342;126;102;59;
343;168;105;187;
344;0;108;60;
345;42;111;188;
346;84;114;61;
347;126;117;189;
348;168;120;62;
349;0;123;190;
350;42;126;63;
351;84;129;191;
352;126;132;64;
353;168;135;192;
354;0;138;65;
355;42;141;193;
356;84;144;66;
357;126;147;194;
358;168;150;67;
359;0;153;195;
360;42;156;68;
361;84;159;196;
362;126;162;69;
363;168;165;197;
364;0;168;70;
365;42;171;198;
366;84;174;71;
367;126;177;199;
368;168;180;72;
369;0;183;200;
370;42;186;73;
371;84;189;201;
372;126;192;74;
373;168;195;202;
374;0;198;75;
375;42;201;203;
376;84;204;76;
377;126;207;204;
378;168;210;77;
379;0;0;205;
380;42;3;78;
381;84;6;206;
382;126;9;79;
383;168;12;207;
384;0;15;80;
385;42;18;208;
386;84;21;81;
387;126;24;209;
388;168;27;82;
389;0;30;210;
390;42;33;83;
391;84;36;211;
392;126;39;84;
393;168;42;212;
394;0;45;85;
395;42;48;213;
396;84;51;86;
397;126;54;214;
398;168;57;87;
399;0;60;215;
400;42;63;88;
401;84;66;216;
402;126;69;89;
403;168;72;217;
404;0;75;90;
405;42;78;218;
406;84;81;91;
407;126;84;219;
408;168;87;92;
409;0;90;220;
410;42;93;93;
411;84;96;221;
412;126;99;94;
413;168;102;222;
414;0;105;95;
415;42;108;223;
416;84;111;96;
417;126;114;224;
418;168;117;97;
419;0;120;225;
420;42;123;98;
421;84;126;226;
422;126;129;99;
423;168;132;227;
424;0;135;0;
425;42;138;128;
426;84;141;1;
427;126;144;129;
428;168;147;2;
429;0;150;130;
430;42;153;3;
431;84;156;131;
432;126;159;4;
433;168;162;132;
434;0;165;5;
435;42;168;133;
436;84;171;6;
437;126;174;134;
438;168;177;7;
439;0;180;135;
440;42;183;8;
441;84;186;136;
442;126;189;9;
443;168;192;137;
444;0;195;10;
445;42;198;138;
446;84;201;11;
447;126;204;139;
448;168;207;12;
449;0;210;140;
450;42;0;13;
451;84;3;141;
452;126;6;14;
453;168;9;142;
454;0;12;15;
455;42;15;143;
456;84;18;16;
457;42;87;63;
458;168;24;17;
459;0;27;145;
460;42;30;18;
461;84;33;146;
462;126;36;19;
463;168;39;147;
464;0;42;20;
465;42;45;148;
466;84;48;21;
467;126;51;149;
468;168;54;22;
469;0;57;150;
470;42;60;23;
471;84;63;151;
472;126;66;24;
473;168;69;152;
474;0;72;25;
475;42;75;153;
476;84;78;26;
477;126;81;154;
478;168;84;27;
479;0;87;155;
480;42;90;28;
481;84;93;156;
482;126;96;29;
483;168;99;157;
484;0;102;30;
485;42;105;158;
486;84;108;31;
487;126;111;159;
488;168;114;32;
489;0;117;160;
490;42;120;33;
491;84;123;161;
492;126;126;34;
493;168;129;162;
494;0;132;35;
495;42;135;163;
496;84;138;36;
497;126;141;164;
498;168;144;37;
499;0;147;165;
500;42;150;38;
501;84;153;166;
502;126;156;39;
503;168;159;167;
504;0;162;40;
505;42;165;168;
506;84;168;41;
507;126;171;169;
508;168;174;42;
509;0;177;170;
510;42;180;43;
511;84;183;171;
512;126;186;44;
513;168;189;172;
514;0;192;45;
515;42;195;173;
516;84;198;46;
517;126;201;174;
518;168;204;47;
519;0;207;175;
520;42;210;48;
521;84;0;176;
522;126;3;49;
523;168;6;177;
524;0;9;50;
525;42;12;178;
526;84;15;51;
527;126;18;179;
528;168;21;52;
529;0;24;180;
530;42;27;53;
531;84;30;181;
532;126;33;54;
533;168;36;182;
534;0;39;55;
535;42;42;183;
536;84;45;56;
537;126;48;184;
538;168;51;57;
539;0;54;185;
540;42;57;58;
541;84;60;186;
542;126;63;59;
543;168;66;187;
544;0;69;60;
545;42;72;188;
546;84;75;61;
547;126;78;189;
548;168;81;62;
549;0;84;190;
550;126;21;144;
551;84;90;191;
552;126;93;64;
553;168;96;192;
554;0;99;65;
555;42;102;193;
556;84;105;66;
557;126;108;194;
558;168;111;67;
559;0;114;195;
560;42;117;68;
561;84;120;196;
562;126;123;69;
563;168;126;197;
564;0;129;70;
565;42;132;198;
566;84;135;71;
567;126;138;199;
568;168;141;72;
569;0;144;200;
570;42;147;73;
571;84;150;201;
572;126;153;74;
573;168;156;202;
574;0;159;75;
575;42;162;203;
576;84;165;76;
577;126;168;204;
578;168;171;77;
579;0;174;205;
580;42;177;78;
581;84;180;206;
582;126;183;79;
583;168;186;207;
584;0;189;80;
585;42;192;208;
586;84;195;81;
587;126;198;209;
588;168;201;82;
589;0;204;210;
590;42;207;83;
591;84;210;211;
592;126;0;84;
593;168;3;212;
594;0;6;85;
595;42;9;213;
596;84;12;86;
597;126;15;214;
598;168;18;87;
599;0;21;215;
600;42;24;88;
601;84;27;216;
602;126;30;89;
603;168;33;217;
604;0;36;90;
605;42;39;218;
606;84;42;91;
607;126;45;219;
608;168;48;92;
609;0;51;220;
610;42;54;93;
611;84;57;221;
612;126;60;94;
613;168;63;222;
614;0;66;95;
615;42;69;223;
616;84;72;96;
617;126;75;224;
618;168;78;97;
619;0;81;225;
620;42;84;98;
621;84;87;226;
622;126;90;99;
623;168;93;227;
624;0;96;0;
625;42;99;128;
626;84;102;1;
627;126;105;129;
628;168;108;2;
629;0;111;130;
630;42;114;3;
631;84;117;131;
632;126;120;4;
633;168;123;132;
634;0;126;5;
635;42;129;133;
636;84;132;6;
637;126;135;134;
638;168;138;7;
639;0;141;135;
640;42;144;8;
641;84;147;136;
642;126;150;9;
643;168;153;137;
644;0;156;10;
645;42;159;138;
646;84;162;11;
647;126;165;139;
648;168;168;12;
649;0;171;140;
650;42;174;13;
651;84;177;141;
652;126;180;14;
653;168;183;142;
654;0;186;15;
655;42;189;143;
656;84;192;16;
657;126;195;144;
658;168;198;17;
659;0;201;145;
660;42;204;18;
661;84;207;146;
662;126;210;19;
663;168;0;147;
664;0;3;20;
665;42;6;148;
666;84;9;21;
667;126;12;149;
668;168;15;22;
669;0;18;150;
670;42;21;23;
671;84;24;151;
672;126;27;24;
673;168;30;152;
674;0;33;25;
675;42;36;153;
676;84;39;26;
677;126;42;154;
678;168;45;27;
679;0;48;155;
680;42;51;28;
681;84;54;156;
682;126;57;29;
683;168;60;157;
684;0;63;30;
685;42;66;158;
686;84;69;31;
687;126;72;159;
688;168;75;32;
689;0;78;160;
690;42;81;33;
691;84;84;161;
692;126;87;34;
693;168;90;162;
694;0;93;35;
695;42;96;163;
696;84;99;36;
697;126;102;164;
698;168;105;37;
699;0;108;165;
700;42;111;38;
701;84;114;166;
702;126;117;39;
703;168;120;167;
704;0;123;40;
705;42;126;168;
706;84;129;41;
707;126;132;169;
708;168;135;42;
709;0;138;170;
710;42;141;43;
711;84;144;171;
712;126;147;44;
713;168;150;172;
714;0;153;45;
715;42;156;173;
716;84;159;46;
717;126;162;174;
718;168;165;47;
719;0;168;175;
720;42;171;48;
721;84;174;176;
722;126;177;49;
723;168;180;177;
724;0;183;50;
725;0;45;190;
726;42;48;63;
727;84;51;191;
728;126;54;64;
729;168;57;192;
730;0;60;65;
731;42;63;193;
732;84;66;66;
733;126;69;194;
734;168;72;67;
735;0;75;195;
736;42;78;68;
737;84;81;196;
738;126;84;69;
739;168;87;197;
740;0;90;70;
741;42;93;198;
742;84;96;71;
743;126;99;199;
744;168;102;72;
745;0;105;200;
746;42;108;73;
747;84;111;201;
748;126;114;74;
749;168;117;202;
750;0;120;75;
751;42;123;203;
752;84;126;76;
753;126;129;204;
754;168;132;77;
755;0;135;205;
756;42;138;78;
757;84;141;206;
758;126;144;79;
759;168;147;207;
760;0;150;80;
761;42;153;208;
762;84;156;81;
763;126;159;209;
764;168;162;82;
765;0;165;210;
766;42;168;83;
767;84;171;211;
768;126;174;84;
769;168;177;212;
770;0;180;85;
771;42;183;213;
772;84;186;86;
773;126;189;214;
774;168;192;87;
775;0;195;215;
776;42;198;88;
777;84;201;216;
778;126;204;89;
779;168;207;217;
780;0;210;90;
781;42;0;218;
782;84;3;91;
783;126;6;219;
784;168;9;92;
785;0;12;220;
786;42;15;93;
787;84;18;221;
788;126;21;94;
789;168;24;222;
790;0;27;95;
791;42;30;223;
792;84;33;96;
793;126;36;224;
794;168;39;97;
795;0;42;225;
796;42;45;98;
797;84;48;226;
798;126;51;99;
799;168;54;227;
800;0;57;0;
801;42;60;128;
802;84;63;1;
803;126;66;129;
804;168;69;2;
805;0;72;130;
806;42;75;3;
807;84;78;131;
808;126;81;4;
809;168;84;132;
810;0;87;5;
811;42;90;133;
812;84;93;6;
813;126;96;134;
814;168;99;7;
815;0;102;135;
816;42;105;8;
817;84;108;136;
818;126;111;9;
819;168;114;137;
820;0;117;10;
821;42;120;138;
822;84;123;11;
823;126;126;139;
824;168;129;12;
825;0;132;140;
826;42;135;13;
827;84;138;141;
828;126;141;14;
829;168;144;142;
830;0;147;15;
831;42;150;143;
832;84;153;16;
833;126;156;144;
834;168;159;17;
835;0;162;145;
836;42;165;18;
837;84;168;146;
838;126;171;19;
839;168;174;147;
840;0;177;20;
841;42;180;148;
842;84;183;21;
843;126;186;149;
844;168;189;22;
845;0;192;150;
846;42;195;23;
847;84;198;151;
848;0;3;225;
849;126;201;24;
850;168;96;42;
851;84;9;226;
852;85;84;11;
853;127;87;139;
854;169;90;12;
855;126;135;84;
856;168;138;212;
857;0;141;85;
858;42;144;213;
859;84;147;86;
860;126;150;214;
861;168;153;87;
862;0;156;215;
863;42;159;88;
864;84;162;216;
865;126;165;89;
866;168;168;217;
867;0;171;90;
868;42;174;218;
869;84;177;91;
870;126;180;219;
871;168;183;92;
872;0;186;220;
873;42;189;93;
874;84;192;221;
875;126;195;94;
876;168;198;222;
877;0;201;95;
878;42;204;223;
879;84;207;96;
880;126;210;224;
881;168;0;97;
882;168;123;82;
883;126;120;209;
884;126;3;154;
885;84;117;81;
886;168;15;227;
887;1;18;0;
888;43;21;128;
889;85;24;1;
890;127;27;129;
891;169;30;2;
892;1;33;130;
893;43;36;3;
894;43;96;13;
895;127;42;4;
896;169;45;132;
897;1;48;5;
898;43;51;133;
899;1;93;140;
900;127;57;134;
901;169;60;7;
902;1;63;135;
903;43;66;8;
904;85;69;136;
905;127;72;9;
906;169;75;137;
